ID,Year,Genre,Duration
155,2016,Animation-Comedy-Family,108
156,2008,Animation-Action-Adventure,92
157,2004,Animation-Action-Adventure,115
158,2015,Adventure-Drama-Sci-Fi,144
159,2008,Action-Drama-Fantasy,92
160,2022,Action-Drama-History,153
161,2011,Action-Crime-Thriller,130
162,2012,Action-Adventure-Comedy,106
163,2010,Action-Adventure-Sci-Fi,124
164,2007,Animation-Adventure-Comedy,111
165,2018,Action-Adventure-Comedy,118
166,2014,Animation-Action-Adventure,102
167,2017,Action-Drama-Sci-Fi,137
168,1997,Action-Adventure-Sci-Fi,129
169,2006,Action-Adventure-Thriller,144
170,2004,Drama,127
171,2008,Comedy-Musical-Romance,108
172,2012,Adventure-Drama-Fantasy,127
173,2017,Action-Adventure-Sci-Fi,154
174,2008,Animation-Adventure-Comedy,89
175,2005,Action-Adventure-Sci-Fi,116
176,2010,Animation-Adventure-Comedy,100
177,2008,Action-Adventure-Thriller,106
178,1997,Action-Adventure-Comedy,98
179,2013,Animation-Adventure-Comedy,98
180,2011,Comedy,102
181,2008,Action-Adventure-Sci-Fi,126
182,2007,Action-Drama-Sci-Fi,101
183,2018,Action-Adventure-Sci-Fi,140
184,2001,Animation-Adventure-Comedy,92
185,2018,Action-Drama-Thriller,142
186,2006,Adventure-Comedy-Family,108
187,2015,Drama-Romance-Thriller,125
188,2017,Action-Adventure-Fantasy,118
189,2011,Animation-Adventure-Comedy,103
190,2011,Animation-Adventure-Comedy,106
191,2005,Action-Adventure-Drama,187
192,2011,Animation-Adventure-Comedy,90
193,2016,Comedy-Drama-Fantasy,94
194,1998,Action-Adventure-Sci-Fi,151
195,2004,Action-Adventure-Sci-Fi,124
196,2012,Comedy,106
197,2014,Action-Biography-Drama,133
198,2000,Action-Adventure-Thriller,123
199,2018,Action-Comedy-Mystery,121
200,2016,Action-Adventure-Sci-Fi,144
201,2011,Action-Adventure-Mystery,129
202,2010,Animation-Adventure-Comedy,95
203,2015,Adventure-Drama-Family,105
204,2005,Animation-Adventure-Comedy,86
205,2013,Action-Adventure-Horror,116
206,2012,Animation-Adventure-Comedy,93
207,1980,Action-Adventure-Fantasy,124
208,2007,Animation-Adventure-Comedy,87
209,2015,Action-Adventure-Drama,156
210,2018,Action-Horror-Sci-Fi,113
211,2018,Animation-Adventure-Comedy,112
212,2018,Animation-Adventure-Comedy,97
213,2017,Animation-Adventure-Comedy,97
214,2017,Action-Drama-History,106
215,2014,Action-Adventure-Sci-Fi,123
216,2019,Animation-Action-Adventure,104
217,2009,Action-Adventure-Mystery,128
218,2004,Comedy-Romance,115
219,2008,Animation-Adventure-Family,98
220,2016,Animation-Action-Adventure,95
221,1991,Action-Sci-Fi,137
222,2015,Action-Adventure-Comedy,117
223,2018,Animation-Comedy-Family,85
224,2021,Action-Adventure-Sci-Fi,97
225,1990,Drama-Fantasy-Romance,127
226,1992,Animation-Adventure-Comedy,90
227,2014,Animation-Adventure-Comedy,101
228,2004,Drama-History,163
229,1999,Animation-Adventure-Comedy,92
230,2010,Animation-Action-Adventure,98
231,1996,Action-Adventure-Thriller,113
232,2013,Adventure-Family-Fantasy,130
233,2010,Action-Adventure-Fantasy,106
234,2019,Adventure-Family-Fantasy,119
235,2017,Action-Adventure-Drama,140
236,2001,Animation-Adventure-Comedy,90
237,2005,Action-Comedy-Crime,120
238,2009,Action-Mystery-Thriller,138
239,2014,Action-Adventure-Comedy,101
240,2003,Comedy-Fantasy,101
241,2011,Animation-Adventure-Comedy,96
242,1998,Drama-War,169
243,2011,Action-Drama-Sci-Fi,105
244,1990,Comedy-Family,103
245,2015,Animation-Adventure-Comedy,89
246,1983,Action-Adventure-Fantasy,131
247,2005,Adventure-Comedy-Family,115
248,1989,Action-Adventure,127
249,1975,Adventure-Thriller,124
250,2015,Action-Adventure-Thriller,114
251,2019,Drama-Fantasy-Horror,169
252,2012,Animation-Adventure-Comedy,101
253,2021,Action-Sci-Fi-Thriller,113
254,2009,Comedy,100
255,2014,Animation-Action-Adventure,100
256,2018,Action-Adventure-Sci-Fi,114
257,2013,Action-Adventure-Sci-Fi,132
258,1999,Action-Sci-Fi,136
259,2000,Action-Adventure-Drama,155
260,1990,Comedy-Romance,119
261,2006,Animation-Adventure-Comedy,117
262,2020,Action-Drama-History,149
263,2006,Action-Adventure-Sci-Fi,104
264,2007,Action-Adventure-Mystery,124
265,2014,Action-Sci-Fi-Thriller,89
266,1996,Action-Adventure-Thriller,110
267,2006,Action-Drama,117
268,2003,Action-Drama,154
269,2020,Animation-Action-Adventure,117
270,2018,Comedy-Drama,117
271,2001,Crime-Thriller,116
272,2019,Drama-History,154
273,2011,Action-Adventure-Fantasy,115
274,2001,Action-Drama-History,183
275,2016,Comedy-Drama-Music,128
276,1999,Animation-Adventure-Comedy,88
277,2002,Action-Adventure-Comedy,88
278,2007,Action-Mystery-Thriller,115
279,2001,Action-Adventure-Fantasy,130
280,2009,Animation-Adventure-Comedy,88
281,2012,Drama-Musical-Romance,158
282,1973,Horror,122
283,1993,Comedy-Drama,125
284,2015,Action-Adventure-Sci-Fi,126
285,2016,Action-Adventure-Fantasy,123
286,2018,Drama-Music-Romance,136
287,2017,Biography-Drama-Musical,105
288,2003,Action-Sci-Fi,109
289,2019,Action-Adventure-Comedy,104
290,2021,Action-Adventure-Fantasy,132
291,2002,Action-Adventure-Thriller,133
292,2019,Animation-Adventure-Comedy,86
293,2000,Adventure-Drama-Romance,143
294,2018,Action-Adventure-Sci-Fi,107
295,2010,Biography-Drama-History,118
296,2003,Action-Sci-Fi,129
297,2011,Biography-Comedy-Drama,112
298,2020,Action-Comedy-Crime,124
299,2012,Drama-Western,165
300,1991,Animation-Family-Fantasy,84
301,1990,Adventure-Drama-Western,181
302,2020,Drama,153
303,2008,Action-Adventure-Family,150
304,2008,Comedy-Drama-Romance,145
305,2019,Action-Adventure-Drama,111
306,1999,Action-Adventure-Fantasy,124
307,2010,Adventure-Family-Fantasy,113
308,2016,Action-Thriller,123
309,2013,Action-Sci-Fi,126
310,2014,Action-Adventure-Comedy,129
311,2009,Adventure-Comedy-Family,105
312,1989,Action-Adventure,126
313,1992,Action-Drama-Music,129
314,2013,Action-Adventure-Sci-Fi,131
315,2017,Action-Adventure-Comedy,141
316,2017,Action-Adventure-Fantasy,111
317,2021,Animation-Adventure-Comedy,110
318,2016,Animation-Adventure-Comedy,94
319,2008,Drama-Fantasy-Romance,122
320,2002,Drama-Mystery-Sci-Fi,106
321,2003,Action-Adventure-Sci-Fi,134
322,2022,Adventure-Family-Fantasy,142
323,2019,Action-Adventure-Sci-Fi,122
324,2008,Action-Adventure-Fantasy,112
