ID,Gross,Worldwide_Gross
265, 126.66M,458863600
266, 180.98M,457696391
267, 210.61M,456082343
268, 111.11M,454627263
269, 47.70M,453210959
270, 0.01M,451183391
271, 183.42M,450717150
272, 2.36M,450064993
273, 181.03M,449326618
274, 198.54M,449220945
275, 151.10M,448906865
276, 171.09M,448191819
277, 190.42M,445135288
278, 227.47M,444100035
279, 202.02M,443280904
280, 219.61M,443140005
281, 148.81M,442299309
282, 232.91M,441306145
283, 219.20M,441286195
284, 89.76M,440603537
285, 47.37M,439048914
286, 215.29M,436233122
287, 174.34M,435732529
288, 150.37M,433371112
289, 144.11M,433230304
290, 224.54M,432243292
291, 160.94M,431971116
292, 158.87M,430051293
293, 233.63M,429632142
294, 101.03M,428028233
295, 138.80M,427374317
296, 139.31M,427344325
297, 13.18M,426588510
298, 206.31M,426505244
299, 162.81M,426074373
300, 218.97M,424967620
301, 184.21M,424208848
302,******,422390820
303, 141.62M,419665568
304, 152.65M,418765519
305, 0.71M,417282021
306, 155.25M,415933406
307, 104.39M,415686217
308, 162.43M,415484914
309, 132.56M,414828246
310, 128.26M,414351546
311, 177.24M,413106170
312, 251.19M,411569241
313, 121.95M,411046449
314, 101.80M,411002906
315, 100.23M,410902662
316, 80.10M,409231607
317, 162.79M,408837044
318, 64.06M,408754975
319, 191.47M,408430415
320, 227.97M,408247917
321, 214.95M,407711549
322,******,405161334
323, 85.71M,404980543
324, 102.49M,403449830
325, 126.48M,403354469
326, 198.68M,402382193
327, 120.63M,402263497
328, 164.87M,402064899
329,******,401872904
330, 108.33M,401847900
331,******,401748820
332, 172.06M,400063852
333, 134.03M,398479497
334, 155.33M,396592829
335, 188.76M,396271103
336, 191.80M,394436586
337, 213.77M,392924807
338, 116.90M,392000694
339, 200.08M,391081192
340, 165.50M,390493908
341, 248.16M,389925971
342, 103.14M,389681935
343, 134.53M,388156011
344, 0.02M,387053506
345, 110.50M,386600138
346, 177.40M,386041607
347, 257.73M,385680446
348, 159.23M,384919389
349, 198.00M,384336108
350, 152.90M,383930656
351, 210.61M,383336762
352, 176.39M,383257136
353, 114.38M,381545846
354, 198.35M,381509870
355, 183.65M,379751655
356, 136.31M,379014294
357, 146.28M,378882411
358, 141.32M,378410542
359, 139.85M,376152455
360, 122.52M,375740705
361, 154.06M,375709470
362, 190.24M,375540831
363, 160.86M,374583879
364, 142.50M,374565754
365, 182.81M,374111707
366, 77.59M,373993951
367, 206.85M,373672993
368, 83.35M,373515621
369, 179.88M,373062864
370, 70.11M,372234864
371, 100.41M,371985018
372, 179.50M,371594210
373, 125.32M,371353001
374, 176.65M,370569774
375, 100.21M,370541256
376, 176.48M,369884651
377, 167.77M,369330363
378, 183.88M,368875760
379, 181.17M,368780809
380, 241.44M,368744044
381,******,366961907
382, 100.01M,366101666
383, 140.37M,366080049
384, 117.45M,365582797
385, 217.33M,365352546
386, 58.46M,365294355
387, 116.09M,363889678
388, 162.80M,363258859
389, 113.75M,363204635
390, 125.54M,362744280
391, 180.01M,362211740
392, 112.20M,362000072
393, 126.94M,361832400
394, 0.71M,361682618
395, 155.06M,360366870
396, 101.20M,359200044
397, 176.59M,359126022
398, 173.59M,358994850
399, 148.31M,358375603
400, 132.07M,358372926
401, 5.02M,358180115
402, 179.80M,357288178
403, 126.64M,356700357
404, 130.10M,356296601
405, 10.06M,355725195
406, 173.84M,355237933
407, 178.80M,354825435
408, 144.84M,353659851
409, 114.77M,353284621
410, 144.80M,353133898
411, 117.73M,352927224
412, 102.83M,352794081
413, 146.41M,352616690
414, 107.51M,352333929
415, 106.60M,352194034
416, 164.62M,352114312
417, 117.72M,351723989
418, 165.09M,351692268
419, 119.94M,351583407
420, 115.25M,351496066
421, 121.25M,350448145
422, 137.75M,349822765
423, 171.96M,349546142
424, 140.46M,349464664
425, 214.03M,349183316
426, 102.43M,348319861
427, 71.02M,347545360
428, 173.01M,347512318
429, 226.16M,347325802
430, 153.71M,347182886
431, 44.90M,346118277
432, 141.60M,346079773
433, 260.04M,345823032
434, 158.85M,343471816
435, 133.11M,342695435
436, 134.51M,342463063
437, 130.51M,341631208
438, 188.02M,340952971
439, 127.81M,340487836
440, 155.02M,339795890
441, 106.58M,337580051
442, 184.03M,336567158
443, 90.76M,336365676
444, 127.51M,335802786
445, 103.86M,335287748
446, 134.07M,335062621
447, 45.54M,334933831
448, 65.08M,334897606
449,******,334530869
450, 154.70M,333535934
451, 179.87M,333107271
452, 125.33M,333011068
453, 118.50M,332500002
454, 123.09M,332207671
455, 121.63M,331526598
456, 191.72M,331333876
457, 166.24M,330444045
458, 156.45M,329803958
459, 106.95M,329398046
460, 182.62M,328718434
461, 174.64M,328203506
462,******,327598891
463, 100.13M,327333559
464, 171.02M,327281779
465, 124.74M,326706115
466, 89.26M,326479141
467, 100.14M,325338851
468, 137.86M,325286646
469, 162.99M,325186032
470, 96.90M,322161245
471, 148.42M,321885765
472, 102.47M,321834351
473, 85.08M,321752656
474, 144.73M,321731527
475, 105.27M,321669741
476, 120.54M,321457747
477, 136.19M,320689294
478, 137.40M,320406242
479, 156.65M,320145693
480, 148.97M,319715683
481, 131.56M,319713881
482, 163.96M,317375031
483, 170.74M,316791257
484, 234.76M,316360478
485, 183.37M,315249768
486, 172.96M,315156409
487, 85.02M,314975955
488, 135.39M,314432837
489, 148.48M,314178011
490, 81.70M,312296056
491, 26.83M,312242626
492, 175.75M,312136671
493, 206.04M,312016928
494, 165.36M,311605581
495, 117.15M,311312624
496, 148.38M,310650585
497, 114.05M,309979994
498, 136.49M,309492681
499, 152.26M,309460292
500, 255.96M,309231694
501, 0.84M,307592427
502, 124.87M,307166834
503, 163.57M,307127625
504, 103.41M,306941670
505, 132.09M,306889114
506, 170.69M,306776732
507, 102.09M,306515884
508, 132.42M,306209289
509, 68.42M,304868961
510, 67.35M,304654182
511, 120.62M,304320254
512, 12.39M,303723636
513, 100.01M,303144152
514, 65.42M,303025485
515, 181.41M,302710615
516, 152.27M,302469017
517, 83.67M,301970083
518, 131.92M,301913131
519, 119.65M,300854823
520, 134.22M,300478449
521, 127.87M,300473716
522, 150.42M,300400432
523, 60.13M,300228084
524, 120.18M,300157638
525, 140.04M,300135367
526, 153.67M,299965036
527, 77.04M,299820798
528, 127.12M,299288605
529, 85.47M,299268508
530, 154.53M,298572799
531, 140.22M,297795726
532, 160.07M,297372261
533, 130.18M,297002527
534, 140.09M,296999813
535, 213.31M,296938801
536, 238.63M,296578797
537, 87.24M,296482446
538, 157.30M,296339528
539, 84.41M,296069199
540, 128.01M,294805697
541, 144.16M,294456605
542, 126.63M,293514336
543, 118.31M,293503354
544, 119.44M,292817898
545, 132.38M,291480452
546, 155.46M,291420351
547, 59.87M,290930148
548, 176.24M,290835269
549, 95.35M,290745055
550, 100.32M,289317794
551, 150.95M,288885818
552, 128.15M,288752301
553, 209.22M,288485135
554, 169.11M,288383523
555, 58.03M,288175335
556, 100.33M,287928194
557, 145.10M,287553595
558, 184.30M,287144079
559, 136.80M,286801374
560, 89.02M,286168572
561, 93.05M,286140700
562, 130.44M,285444603
563, 73.08M,284139100
564, 83.03M,282570682
565, 76.27M,282377683
566, 71.54M,281995610
567,******,281050000
568, 67.63M,278780441
569, 138.29M,278454417
570, 157.02M,278019771
571, 142.11M,277448382
572, 113.20M,276144750
573, 111.51M,275698039
574, 153.29M,275678613
575, 182.21M,275293450
576, 131.14M,274703340
577, 58.25M,274650803
578, 103.07M,274470394
579, 119.79M,274325949
580, 128.81M,273961019
581, 153.95M,273552592
582, 138.61M,273339556
583, 145.79M,273144151
584, 130.74M,272742922
585, 162.00M,271457301
586, 150.16M,270665134
587, 158.35M,270248367
588, 150.39M,269994119
589, 148.10M,269958228
590, 94.78M,269784201
591, 130.16M,269755430
592, 107.52M,268426634
593, 65.01M,268175631
594, 102.80M,267447150
595, 104.40M,267045765
596, 162.83M,266915287
597, 106.61M,266614059
598, 124.73M,265328738
599, 40.23M,265126918
600, 134.52M,264770996
601, 88.25M,264218220
602, 125.62M,264118201
603, 125.31M,264105545
604, 63.54M,263920180
605, 53.37M,263187038
606, 100.48M,262821940
607, 128.51M,262552893
608, 128.20M,262511490
609, 76.42M,261989769
610, 119.39M,261317921
611, 72.09M,261183588
612, 62.25M,261119292
613, 89.30M,260502115
614, 127.00M,260095986
615, 1.24M,259368448
616, 92.05M,259352064
617, 100.83M,259175788
618, 140.13M,258097122
619, 45.95M,257938649
620, 0.36M,257753889
621, 84.27M,257589721
622, 96.09M,256718560
623, 114.20M,256697520
624, 1.30M,256283912
625, 125.60M,256271286
626,******,255863112
627, 176.04M,255745157
628, 143.15M,255743093
629, 159.34M,255614941
630, 175.08M,255228914
631, 84.05M,255000211
632, 20.19M,254158390
633, 66.60M,254134910
634, 80.00M,253890701
635, 168.27M,253625427
636, 90.56M,252909177
637, 99.05M,252712101
638, 65.85M,252442974
639, 171.24M,252276927
640, 77.05M,251410631
641, 45.32M,251212670
642, 150.12M,251171807
643, 111.55M,250849789
644, 115.82M,250821495
645, 75.03M,250425512
646, 85.34M,250397798
647, 134.97M,250341816
648, 94.10M,250288523
649, 129.13M,249348933
650, 140.54M,248639099
651, 95.01M,248118121
652, 0.88M,247585244
653, 127.18M,247290327
654, 111.05M,246999039
655, 133.67M,246984278
656, 130.18M,246233113
657, 123.48M,245724603
658,******,245713440
659, 52.70M,245700832
660, 112.23M,245676146
661, 82.05M,245623848
662, 79.73M,245527149
663, 132.18M,245285165
664, 59.70M,245203167
665, 0.29M,245179562
666, 1.48M,245144417
667, 87.73M,245077583
668, 78.75M,244874809
669, 72.69M,244819862
670, 141.15M,244721064
671, 101.70M,244232688
672, 60.52M,243611982
673, 141.34M,243240178
674, 124.87M,243006126
675, 116.72M,242875078
676, 150.36M,242786137
677, 58.61M,242688965
678, 101.30M,242295562
679, 74.26M,240891763
680, 125.07M,240797623
681, 54.65M,240697856
682, 137.36M,240685326
683, 0.21M,240663149
684, 42.35M,240159255
685, 117.54M,240031274
686, 109.31M,239606210
687, 90.29M,239258712
688, 174.53M,238843729
689, 107.33M,238235719
