ID,Movie_Rating,Metascore,Votes
291,6.1,56,219747
292,6.4,55,62383
293,7.8,73,588627
294,6.1,45,167913
295,8,88,679043
296,6.7,47,511943
297,8.5,57,849817
298,6.5,59,160067
299,8.4,81,1534855
300,8,95,453187
301,8,72,265130
302,6.5,******,843
303,6.5,62,210925
304,5.7,53,122626
305,6.2,******,2150
306,7.1,48,428601
307,6.3,53,154816
308,6.6,58,227583
309,6.7,61,465995
310,7.7,60,664004
311,6,42,196802
312,7.5,69,376730
313,6.3,39,134840
314,6.9,65,500987
315,6.7,44,326293
316,5.4,34,190176
317,7.4,49,66528
318,5.6,34,67153
319,5.3,56,460735
320,6.8,59,363169
321,7.4,68,549360
322,6.2,47,131975
323,7.3,53,266360
324,5.2,31,161456
325,7,64,608177
326,8.2,97,314964
327,6.6,60,95422
328,6.3,52,335050
329,6.5,47,62156
330,8,74,618157
331,6.3,45,191170
332,6.8,49,337056
333,6.9,66,356861
334,6.1,57,290046
335,7.2,70,276124
336,8.3,95,985902
337,6.9,62,344300
338,8.2,75,1387132
339,6.1,72,283488
340,6.9,51,194169
341,8.4,85,959488
342,5.2,32,179948
343,7.1,69,406071
344,6.1,53,5315
345,6,48,182174
346,6.6,55,103018
347,7.9,82,603062
348,8.2,78,577650
349,6.4,77,186413
350,6.7,59,100026
351,8.5,87,1190884
352,7.5,61,481438
353,4.5,33,103004
354,6.4,56,162665
355,6.7,67,371644
356,5.4,32,194147
357,7.3,63,258633
358,8,84,842587
359,6.2,45,307350
360,5.7,41,181977
361,8.1,90,993196
362,8.4,87,518339
363,6,48,183622
364,7.6,83,723753
365,6.4,47,208508
366,7.3,68,231379
367,8.2,70,1457594
368,6.6,53,91354
369,6.5,40,504234
370,6.1,51,188673
371,4.5,31,66298
372,6.6,58,317894
373,6.5,49,362224
374,6.9,66,839422
375,7.9,71,673554
376,7.1,69,311720
377,8.1,79,974122
378,7.8,87,294813
379,5.9,42,322559
380,6.6,62,132928
381,6.1,******,2199
382,7.6,58,387025
383,7,71,331990
384,5.3,46,140749
385,5.2,39,86222
386,7.3,69,494126
387,7.2,68,310305
388,7.2,77,292638
389,6.2,47,122737
390,6.5,58,389868
391,5.7,50,220348
392,5.8,30,314965
393,6.4,57,201317
394,5.4,63,1777
395,6.5,46,287198
396,5.8,68,255465
397,6.2,61,183996
398,6.8,46,352040
399,7,47,255194
400,7.7,80,549888
401,8.4,79,264127
402,6.9,50,430656
403,6.2,44,177341
404,8.4,84,1148186
405,8.6,96,753968
406,7.7,77,294911
407,8,65,512762
408,7.2,55,541556
409,6.3,51,76096
410,7.1,59,538880
411,7,41,200383
412,6.5,52,256936
413,7.7,65,690853
414,6.3,43,93189
415,7.2,65,257479
416,8.1,75,969691
417,7.2,50,656647
418,6.8,57,275159
419,6.9,56,384946
420,6.6,51,43258
421,7.3,78,363407
422,6.4,56,61274
423,6.7,66,88275
424,6.2,40,179125
425,6.4,46,113547
426,6.8,57,465068
427,5.3,34,42457
428,6.9,39,332482
429,6.6,48,220002
430,6.4,55,82121
431,5.2,42,92468
432,6.7,58,187513
433,6.2,46,245026
434,7,68,246473
435,4.3,24,35773
436,6.7,64,389301
437,4.9,38,81670
438,7.5,82,522995
439,7.1,75,199265
440,6.7,67,175604
441,6.2,48,301454
442,5.4,51,253427
443,6.6,50,290140
444,7.8,70,647546
445,5.7,41,104779
446,7.4,58,338124
447,5.9,42,136347
448,6.4,46,288770
449,6.1,******,1591
450,5.7,40,330331
451,7.5,57,486281
452,6.5,52,195105
453,7.8,57,529620
454,6.7,66,116115
455,7.1,62,362859
456,7,71,376664
457,7,73,335066
458,7.7,83,201427
459,8,79,761933
460,6.4,59,168607
461,6.6,62,105852
462,5.8,******,1348
463,8.6,65,1632302
464,7.4,73,339342
465,6.9,62,418066
466,6,26,193097
467,7,74,157987
468,6.8,55,115451
469,6,62,55845
470,9,94,1343317
471,7.3,63,260991
472,7.3,65,269246
473,8.2,69,483838
474,6.7,40,168977
475,6.6,53,269547
476,8.3,69,1431553
477,5.7,49,111625
478,7.5,68,504495
479,6.9,67,87159
480,6.5,47,138657
481,4,20,164006
482,6.7,48,327779
483,8.2,72,927229
484,7.3,66,184195
485,6.6,61,206563
486,6.5,61,196674
487,6.6,51,307649
488,5.7,48,93304
489,7.7,67,298604
490,6.3,43,250276
491,5.5,49,94579
492,7.3,75,151600
493,6.6,59,234000
494,7.9,82,615567
495,6.9,62,346822
496,5.5,27,113255
497,6.8,67,211167
498,6.7,60,128875
499,5.6,39,99145
500,7.6,53,331405
501,5.6,******,503
502,7.7,69,376156
503,8,64,508647
504,7.2,58,175301
505,7.6,90,202076
506,7.2,81,230581
507,6.5,62,134439
508,7.9,66,164180
509,5.8,51,122609
510,5.2,28,207598
511,7.6,71,287151
512,8.3,******,190074
513,7,41,403041
514,5.8,41,248603
515,6.9,70,308906
516,5.7,32,209106
517,5.7,37,189683
518,5.6,45,266221
519,6.8,52,254358
520,7.4,81,175192
521,6.8,40,205435
522,6.5,47,169431
523,5.8,37,172283
524,6,35,266768
525,6,61,135978
526,6.5,48,120332
527,6.2,34,109186
528,6.3,50,143189
529,7,56,328702
530,6.8,71,141085
531,6.3,61,218534
532,7.2,71,223480
533,6.2,42,238065
534,5.9,51,82968
535,6.2,62,210682
536,7.8,71,412928
537,6.7,57,172848
538,7.3,64,614160
539,6.7,58,57639
540,8.2,63,1296006
541,5.4,46,97557
542,6.1,54,162611
543,6.4,65,314928
544,5.1,41,46938
545,8.5,85,1313456
546,6.6,51,127055
547,5.6,44,117714
548,7.7,73,463217
549,4.5,27,80235
550,7.1,87,225403
551,6.6,48,459513
552,7.1,47,208012
553,7,64,355945
554,6.8,75,292230
555,6.2,50,139779
556,6.1,49,134656
557,6.4,43,256365
558,6.4,63,157663
559,8.6,61,1287659
560,7,54,523275
561,6.6,61,447585
562,6.6,37,163828
563,6.6,51,273135
564,6.4,58,98006
565,7.3,77,116693
566,6.7,66,244375
567,7.5,64,133587
568,6,37,243761
569,7.3,62,492904
570,6.2,48,261175
571,5.8,48,180412
572,6.6,61,302627
573,6.8,59,70857
574,5.2,35,113526
575,7.3,86,260834
576,5.7,33,209775
577,6.3,48,214377
578,6.4,45,345745
579,6.3,59,103707
580,5.7,62,117590
581,7.3,77,266680
582,6.6,38,251049
583,7.3,73,190832
584,8.6,85,1417393
585,5.9,30,252573
586,6.3,68,310752
587,6.8,58,135417
588,7,44,448471
589,8.1,72,772591
590,5.1,34,131624
591,7.8,76,425928
592,6.6,52,105754
593,6,52,169312
594,7.3,91,143403
595,7.1,73,145087
596,7.1,68,304870
597,6,35,71950
598,6.7,66,122541
599,6,44,114485
600,6.6,61,490726
601,6.2,56,196867
602,8.2,90,1067682
603,5.6,52,187745
604,7.6,52,472447
605,8.5,96,783071
606,7,39,344655
607,7.3,89,408397
608,6.4,64,147947
609,6.3,46,196876
610,7.5,57,330462
611,7.2,67,40625
612,6.2,54,177281
613,6.4,37,235219
614,7,72,354633
615,5.9,48,3992
616,8,81,563289
617,4.9,48,128314
618,6.2,44,168713
619,7.2,75,106869
620,5.1,50,10441
621,5.4,37,159474
622,7.2,75,215996
623,6.6,44,261770
624,5.4,******,1708
625,7.4,73,198063
626,6.3,******,1879
627,7.7,85,598580
628,7,53,158913
629,6.5,67,151270
630,6.8,81,294642
631,6.5,60,130555
632,8.2,******,100479
633,6.9,83,125993
634,5.6,38,134497
635,5.8,27,119295
636,4.9,57,63173
637,7.3,74,231152
638,5.7,43,186645
639,7.6,80,338844
640,5.6,26,64710
641,6.5,52,105606
642,7.2,90,478163
